Star1,Star2,Avg_Gross
Aamir Khan,Madhavan,6532908.0
Aamir Khan,Raghuvir Yadav,70147.0
Aaron Taylor-Johnson,Nicolas Cage,48071303.0
Abraham Attah,Emmanuel Affadzi,83861.0
Adam Driver,Scarlett Johansson,2000000.0
Adrian Molina,Anthony Gonzalez,209726015.0
Adrien Brody,Christina Hendricks,71177.0
Adrien Brody,Thomas Kretschmann,32572577.0
Al Pacino,Chris O'Donnell,63895607.0
Al Pacino,Diane Keaton,66666062.0
Al Pacino,Jack Lemmon,10725228.0
Al Pacino,John Cazale,50000000.0
Al Pacino,John Randolph,29800000.0
Al Pacino,Johnny Depp,41909762.0
Al Pacino,Michelle Pfeiffer,45598982.0
Al Pacino,Robert De Niro,62368409.0
Al Pacino,Sean Penn,36948322.0
Alan Mak,Andy Lau,169659.0
Alejandro Jodorowsky,Horacio Salinas,61001.0
Aleksandr Antonov,Vladimir Barskiy,50970.0
Aleksey Serebryakov,Elena Lyadova,1092800.0
Alicia Vikander,Domhnall Gleeson,25442958.0
Amit Sadh,Sushant Singh Rajput,1122527.0
Amy Adams,Jeremy Renner,100546139.0
Amy Poehler,Mirai Shida,19202743.0
Anamaria Marinca,Laura Vasiliu,1185783.0
Andie MacDowell,Julianne Moore,6110979.0
Andreas Wilson,Henrik Lundström,15280.0
Andrew Garfield,Sam Worthington,67209615.0
Andrew Marton,Gerd Oswald,39100000.0
Andrew Philpot,John Rafter Lee,151086.0
Angelina Jolie,Colm Feore,35739802.0
Anne Dorval,Antoine Olivier Pilon,3492754.0
Ansel Elgort,Jon Bernthal,107825862.0
Anthony Hopkins,Diane Ladd,5128124.0
Anthony Hopkins,Emma Thompson,22954968.0
Anthony Perkins,Janet Leigh,32000000.0
Antonio Banderas,Elena Anaya,3185812.0
Armie Hammer,Timothée Chalamet,18095701.0
Arnold Schwarzenegger,Carl Weathers,59735548.0
Arnold Schwarzenegger,Linda Hamilton,121621675.0
Asa Butterfield,David Thewlis,9030581.0
Ash Brannon,Lee Unkrich,245852179.0
Atsuko Tanaka,Iemasa Kayumi,515905.0
Audrey Hepburn,Alan Arkin,17550741.0
Audrey Hepburn,Rex Harrison,72000000.0
Audrey Tautou,Gaspard Ulliel,6167817.0
Audrey Tautou,Mathieu Kassovitz,33225499.0
Bajram Severdzan,Srdjan 'Zika' Todorovic,348660.0
Baki Davrak,Nurgül Yesilçay,741283.0
Barry Bostwick,Jennifer Drake,193817.0
Barry Cook,Ming-Na Wen,120620254.0
Ben Affleck,Bryan Cranston,136025503.0
Ben Affleck,Rosamund Pike,167767189.0
Ben Burtt,Elissa Knight,223808164.0
Ben Kingsley,John Gielgud,52767889.0
Ben Whishaw,Hugh Grant,40442052.0
Benedict Cumberbatch,Keira Knightley,91125683.0
Bertil Guve,Pernilla Allwin,4971340.0
Bette Davis,Anne Baxter,10177.0
Bette Davis,Joan Crawford,4050000.0
Bill Murray,Andie MacDowell,70906973.0
Bill Murray,Dan Aykroyd,238632124.0
Bill Murray,Scarlett Johansson,44585453.0
Bill Pullman,Patricia Arquette,3796699.0
Billy Bob Thornton,Dwight Yoakam,24475416.0
Billy Crudup,Patrick Fugit,32534850.0
Billy Crystal,Meg Ryan,92823600.0
Björk,Catherine Deneuve,4184036.0
Bob Geldof,Christine Hargreaves,22244207.0
Bob Hoskins,Christopher Lloyd,156452370.0
Bob Peterson,Edward Asner,293004164.0
Boris Karloff,Elsa Lanchester,4360000.0
Brad Davis,Irene Miracle,35000000.0
Brad Pitt,Cate Blanchett,127509326.0
Brad Pitt,Diane Kruger,120540719.0
Brad Pitt,Edward Norton,37030102.0
Brad Pitt,Robin Wright,75605492.0
Bradley Cooper,Jennifer Lawrence,132092958.0
Brady Corbet,Joseph Gordon-Levitt,697181.0
Brahim Hadjadj,Jean Martin,55908.0
Branko Djuric,Rene Bitorajac,1059830.0
Brian O'Halloran,Jeff Anderson,3151130.0
Brie Larson,Frantz Turner,1010414.0
Brie Larson,Jacob Tremblay,14677674.0
Brigitte Helm,Alfred Abel,1236166.0
Brigitte Lin,Takeshi Kaneshiro,600200.0
Brooklynn Prince,Bria Vinaite,5904366.0
Bruce Campbell,Sarah Berry,5923044.0
